Tagname,Class,System,Loop_Sequence,Function_Code,Drawing_No,RapidOCR_Text,TesseractOCR_Text,Raw_Text
AO-0116-44,INSTRUMENT,44,0116,AO,img_0_grid_5_det_3.png,Ey 0116 13,"EY

ov 6

AO

3","Ey 0116 13 EY

ov 6

AO

3"
AS-0116-44,INSTRUMENT,44,0116,AS,img_0_grid_5_det_4.png,Ey 0116 13,"fe

AS","Ey 0116 13 fe

AS"
BI-0110-16,INSTRUMENT,16,0110,BI,img_0_grid_10_det_9.png,P1 0110 16,"| | BI

0110

=

18","P1 0110 16 | | BI

0110

=

18"
DI-0110-44,INSTRUMENT,44,0110,DI,img_0_grid_10_det_3.png,DI 0110,"|

Vid

|“","DI 0110 |

Vid

|“"
EL-0113-44,INSTRUMENT,44,0113,EL,img_0_grid_9_det_2.png,EL 0113 GL,"EV

a

3)","EL 0113 GL EV

a

3)"
EL-0113-44,INSTRUMENT,44,0113,EL,img_0_grid_9_det_1.png,EL 0113 $L,"(

lA

A

3)","EL 0113 $L (

lA

A

3)"
EV-0110A-13,INSTRUMENT,13,0110A,EV,img_0_grid_7_det_0.png,EV 0110A 13,"LV

OTI0A |

13","EV 0110A 13 LV

OTI0A |

13"
EV-0110A-13,INSTRUMENT,13,0110A,EV,img_0_grid_7_det_2.png,EV 0110A 13,"ee

| |

EV

O110A

13","EV 0110A 13 ee

| |

EV

O110A

13"
EV-0110A-44,INSTRUMENT,44,0110A,EV,img_0_grid_7_det_1.png,EV 0110A 13,"LJ iH

(i

OTIOA

|3","EV 0110A 13 LJ iH

(i

OTIOA

|3"
EV-0110B-13,INSTRUMENT,13,0110B,EV,img_0_grid_10_det_6.png,EV 0110B 13,"EV

0110B

13","EV 0110B 13 EV

0110B

13"
EV-0110B-13,INSTRUMENT,13,0110B,EV,img_0_grid_10_det_8.png,EV 0110B 13,"EV

0110B

13","EV 0110B 13 EV

0110B

13"
EV-0110B-44,INSTRUMENT,44,0110B,EV,img_0_grid_10_det_9.png,EV 0110B 13,"CV

OT10B

i)","EV 0110B 13 CV

OT10B

i)"
EV-0114-13,INSTRUMENT,13,0114,EV,img_0_grid_7_det_0.png,EV 0114 13,"lt

(rt

ey

111

& 13 Af","EV 0114 13 lt

(rt

ey

111

& 13 Af"
EV-0114-44,INSTRUMENT,44,0114,EV,img_0_grid_7_det_1.png,EV 0114 18,EY,EV 0114 18 EY
EV-0115-13,INSTRUMENT,13,0115,EV,img_0_grid_9_det_4.png,EV 0115 13,"cV

0115

13","EV 0115 13 cV

0115

13"
EV-0115-13,INSTRUMENT,13,0115,EV,img_0_grid_9_det_4.png,EV 0115 13,"|

Py

115

13","EV 0115 13 |

Py

115

13"
EV-0115-13,INSTRUMENT,13,0115,EV,img_0_grid_9_det_4.png,EV 0115 13,"ry

1

13

=)","EV 0115 13 ry

1

13

=)"
FCV-1110-44,INSTRUMENT,44,1110,FCV,img_0_grid_10_det_0.png,FCV 1110 42,"Se

FCY

iT

L7","FCV 1110 42 Se

FCY

iT

L7"
FCV-1110-44,INSTRUMENT,44,1110,FCV,img_0_grid_10_det_0.png,FCV 1110 42,"FCV

T1710

L2","FCV 1110 42 FCV

T1710

L2"
FCV-1110-72,INSTRUMENT,72,1110,FCV,img_0_grid_10_det_0.png,FCV 1110 42,"PCY

110

[72","FCV 1110 42 PCY

110

[72"
FI-2111-42,INSTRUMENT,42,2111,FI,img_0_grid_10_det_1.png,FI 2111 42,"(EY

2

1

iT

Lar)","FI 2111 42 (EY

2

1

iT

Lar)"
FI-2111-42,INSTRUMENT,42,2111,FI,img_0_grid_10_det_2.png,FI 2111 42,"(a

d

1

1

a)","FI 2111 42 (a

d

1

1

a)"
FI-2111-44,INSTRUMENT,44,2111,FI,img_0_grid_10_det_2.png,FI 2111 42,"f/ Fil \

d

1

1

a)","FI 2111 42 f/ Fil \

d

1

1

a)"
FIC-0111-10,INSTRUMENT,10,0111,FIC,img_0_grid_14_det_2.png,FIC 0111 10,"|| FIC

|e

i8

_","FIC 0111 10 || FIC

|e

i8

_"
FIC-0111-18,INSTRUMENT,18,0111,FIC,img_0_grid_14_det_2.png,FIC 0111 16,"Plt

U

111

=

3 | 18 :","FIC 0111 16 Plt

U

111

=

3 | 18 :"
FIQ-0111-44,INSTRUMENT,44,0111,FIQ,img_0_grid_14_det_3.png,FIQ 0111 16,"ee

“lotr","FIQ 0111 16 ee

“lotr"
FIT-0113-13,INSTRUMENT,13,0113,FIT,img_0_grid_6_det_1.png,FIT 0113 13,"A

-lT

OT

13 #","FIT 0113 13 A

-lT

OT

13 #"
FIT-0113-13,INSTRUMENT,13,0113,FIT,img_0_grid_6_det_3.png,FIT 0113 13,"Il

UTE

13 2","FIT 0113 13 Il

UTE

13 2"
FIT-0113-13,INSTRUMENT,13,0113,FIT,img_0_grid_6_det_1.png,FIT 0113 13,(ae,FIT 0113 13 (ae
FIT-0113-13,INSTRUMENT,13,0113,FIT,img_0_grid_6_det_1.png,FIT 0113 13,#NAME?,"FIT 0113 13 = PM

a"
FT-0111-44,INSTRUMENT,44,0111,FT,img_0_grid_14_det_1.png,FT 0111 16,"rl

O11 -

Is 4","FT 0111 16 rl

O11 -

Is 4"
FT-0111-44,INSTRUMENT,44,0111,FT,img_0_grid_14_det_1.png,FT 0111 16,"Ln

-

ey

O11 Pp","FT 0111 16 Ln

-

ey

O11 Pp"
GOTT-0111-16,INSTRUMENT,16,0111,GOTT,img_0_grid_14_det_0.png,5. 0111 16,"ry

GOTT

16","5. 0111 16 ry

GOTT

16"
GT-0111-14,INSTRUMENT,14,0111,GT,img_0_grid_14_det_0.png,0111 16,"rh

GT 14

16","0111 16 rh

GT 14

16"
HI-0112-19,INSTRUMENT,19,0112,HI,img_0_grid_8_det_4.png,HI't 0112 15,"oun |.

19","HI't 0112 15 oun |.

19"
HT-0112-15,INSTRUMENT,15,0112,HT,img_0_grid_8_det_0.png,HT 0112 15,(ny,HT 0112 15 (ny
HZ-0113-43,INSTRUMENT,43,0113,HZ,img_0_grid_9_det_6.png,HZ X 0113 13,"re &h

V1

=| 43","HZ X 0113 13 re &h

V1

=| 43"
HZ-0113-43,INSTRUMENT,43,0113,HZ,img_0_grid_9_det_6.png,HZ 0113 13,"Ae A

OVI

=| 43","HZ 0113 13 Ae A

OVI

=| 43"
HZ-0113-43,INSTRUMENT,43,0113,HZ,img_0_grid_9_det_5.png,HZ X 0113 13,"__| ex

| O443

=) 43","HZ X 0113 13 __| ex

| O443

=) 43"
HZ-0117-15,INSTRUMENT,15,0117,HZ,img_0_grid_9_det_5.png,HZ. 0117 15,"| Hex

Oi

1d","HZ. 0117 15 | Hex

Oi

1d"
HZ-0117-18,INSTRUMENT,18,0117,HZ,img_0_grid_9_det_5.png,HZ 0117 15,"riZ, A

1 ¢

18","HZ 0117 15 riZ, A

1 ¢

18"
HZ-0117-44,INSTRUMENT,44,0117,HZ,img_0_grid_9_det_3.png,HZ 0117 15,"HZV

oe

Cc","HZ 0117 15 HZV

oe

Cc"
HZT-0117-44,INSTRUMENT,44,0117,HZT,img_0_grid_9_det_6.png,HZT 0117 15,"rs ee ee

el","HZT 0117 15 rs ee ee

el"
HZX-0111-13,INSTRUMENT,13,0111,HZX,img_0_grid_7_det_4.png,HZX 0111 13,"| uex

yj is

| oii","HZX 0111 13 | uex

yj is

| oii"
HZX-0112-13,INSTRUMENT,13,0112,HZX,img_0_grid_5_det_5.png,HZX 0112 13,"|

ried

i 12

ae

|

13","HZX 0112 13 |

ried

i 12

ae

|

13"
HZX-0112-13,INSTRUMENT,13,0112,HZX,img_0_grid_5_det_5.png,HZX 0112 13 Lnn,"|

PLLA

ri} 12

=

|

13","HZX 0112 13 Lnn |

PLLA

ri} 12

=

|

13"
HZX-0116-13,INSTRUMENT,13,0116,HZX,img_0_grid_5_det_6.png,HZX 0116 13,"| Hz

i

Ui1s

13","HZX 0116 13 | Hz

i

Ui1s

13"
HZX-0116-13,INSTRUMENT,13,0116,HZX,img_0_grid_5_det_6.png,HZX 0116 13,"ZH

116

13

———— SS SF. ————i/","HZX 0116 13 ZH

116

13

———— SS SF. ————i/"
MA-0113-13,INSTRUMENT,13,0113,MA,img_0_grid_9_det_1.png,E' 0113 13,"— —

ty

le

MA

3)","E' 0113 13 — —

ty

le

MA

3)"
PI-0110-16,INSTRUMENT,16,0110,PI,img_0_grid_10_det_6.png,PI 0110 16,,PI 0110 16 
PI-0110-16,INSTRUMENT,16,0110,PI,img_0_grid_10_det_6.png,PI 0110 16,"| Bl

| 0110

| |) 1","PI 0110 16 | Bl

| 0110

| |) 1"
PI-0111-13,INSTRUMENT,13,0111,PI,img_0_grid_11_det_1.png,PI 0111 13,"a)

O1ft |

13 4","PI 0111 13 a)

O1ft |

13 4"
PI-0116-44,INSTRUMENT,44,0116,PI,img_0_grid_10_det_3.png,PI 0116,"|

Ui

|“","PI 0116 |

Ui

|“"
PI-1115-13,INSTRUMENT,13,1115,PI,img_0_grid_6_det_0.png,PI 1115 13,"|

1115

13","PI 1115 13 |

1115

13"
PI-1115-13,INSTRUMENT,13,1115,PI,img_0_grid_6_det_0.png,PI 1115 13,"|

11715

13","PI 1115 13 |

11715

13"
PI-1115-13,INSTRUMENT,13,1115,PI,img_0_grid_6_det_0.png,PI 1115 13,"|

118

«

13","PI 1115 13 |

118

«

13"
PIT-0112-16,INSTRUMENT,16,0112,PIT,img_0_grid_10_det_10.png,PIT 0112 16,"PIT

0112

16","PIT 0112 16 PIT

0112

16"
PIT-0112-16,INSTRUMENT,16,0112,PIT,img_0_grid_10_det_10.png,PIT 0112 16,"_/

PIT

(

0112

16","PIT 0112 16 _/

PIT

(

0112

16"
PIT-0112-16,INSTRUMENT,16,0112,PIT,img_0_grid_10_det_10.png,PIT 0112 16,"_/

PIT

(

0112

16","PIT 0112 16 _/

PIT

(

0112

16"
