Tagname;Class;System;Loop_Sequence;Function_Code;Drawing_No
QT-0001-65;INSTRUMENT;65;0001;QT;detected_area_2
LT-0104-13;INSTRUMENT;13;0104;LT;detected_area_20
OPH-0115-50;INSTRUMENT;50;0115;OPH;detected_area_35
NOTE-0001-13;INSTRUMENT;13;0001;NOTE;detected_area_45
HG-1021-20;INSTRUMENT;20;1021;HG;detected_area_62
QT-0001-20;INSTRUMENT;20;0001;QT;enhanced_area_2
PDL-0002-42;INSTRUMENT;42;0002;PDL;enhanced_area_16
HZV-0113-20;INSTRUMENT;20;0113;HZV;enhanced_area_18
IN-0104-20;INSTRUMENT;20;0104;IN;enhanced_area_20
PI-1005-44;INSTRUMENT;44;1005;PI;enhanced_area_27
HL-6914-24;INSTRUMENT;24;6914;HL;enhanced_area_31
OPH-0115-20;INSTRUMENT;20;0115;OPH;enhanced_area_35
XZH-6660-02;INSTRUMENT;02;6660;XZH;enhanced_area_37
HL-0800-24;INSTRUMENT;24;0800;HL;enhanced_area_38
INS-0298-20;INSTRUMENT;20;0298;INS;enhanced_area_41
INS-0131-01;INSTRUMENT;01;0131;INS;enhanced_area_47
TEI-0980-13;INSTRUMENT;13;0980;TEI;enhanced_area_49
HZX-6660-20;INSTRUMENT;20;6660;HZX;enhanced_area_51
NO-0279-20;INSTRUMENT;20;0279;NO;enhanced_area_64
NC-0003-20;INSTRUMENT;20;0003;NC;enhanced_area_65
HP-0380-20;INSTRUMENT;20;0380;HP;enhanced_area_73
IG-0227-20;INSTRUMENT;20;0227;IG;enhanced_area_85
HG-0229-20;INSTRUMENT;20;0229;HG;enhanced_area_85
NOTE-0008-20;INSTRUMENT;20;0008;NOTE;enhanced_area_86
